,Title,Authors,Description,Date,Rating
0,Forensic Psychology,"['Jennifer Brown', 'Yvonne Shell', 'Terri Cole']","Instructors - Electronic inspection copies are available or contact your local sales representative for an inspection copy of the print version. 'This fascinating book examines some of the ideological underpinnings of forensic psychological research, policy and practice. It is refreshingly reflective and a significant contribution to the field. I strongly recommend it.' - Professor Graham Towl, Durham University and formerly Chief Psychologist at the Ministry of Justice 'The strength of this book is the complexity of concepts and topics covered mean that it is suitable for students who wish to be challenged.’ - Dr Louise Almond, University of Liverpool 'This is a book for people who like to think. It presents the realities of practice with the challenges of theory and asks the reader to shake off complacency. It is insightful and challenging but most of all, it is very readable.' - Professor Joanna R. Adler, Middlesex University Students of Forensic Psychology need to learn how to combine practical skills such as report writing or assessments with a critical understanding of both theory and the wider political and policy landscape that surrounds the profession. Mapped to the British Psychological Society’s Stage One and Two training requirements for forensic psychologists Forensic Psychology: Theory, Research, Policy and Practice will help you understand how these crucial areas of the profession interact and how they can shape one another. Throughout the text the authors provide a detailed analysis of key concepts, debates and theories while weaving in insights and reflections from key professionals, ensuring you have the necessary knowledge and skills to pass assignments and get past the stage 2 supervised practice requirements en route to becoming a qualified forensic psychologist. This text will be essential reading for all those on MSc Forensic Psychology courses, and will also be a useful reader for those on practitioner doctorates as well as the already qualified needing to keep up with the CPD. The book is also a useful companion to professionals in allied criminal justice professions.",2015-09-14,NA
1,Health Psychology: A Textbook,"['Ogden, Jane']","""Jane Ogden's Health Psychology is a smart and readable textbook that should appeal to both instructors and students of health psychology. Its overall structure is intuitively appealing and progresses from health beliefs to factors associated with becoming ill to the actual state of being ill. New to this edition is a wonderful chapter on the demographics of health and health behaviours. Using a number of striking graphs, Ogden highlights the disparities in health by geography, social class, and gender. The book's greatest appeal, however, is its focus on the major ideas in health psychology. The reader is not bombarded with subtleties of dozens of studies; rather the broader theories are emphasized. Whether you come to health psychology with a background in social, clinical, physiological, or other specialization, you will find this to be a compelling book."" James W. Pennebaker, Regents Centennial Professor of Psychology, University of Texas at Austin, USA ""This 5th edition of Health Psychology represents an even more attractive book than the previous editions. The new figures and images illustrate the text and students are provided with clear, up-to-date and accessible information on the major theoretical and empirical issues in health psychology. There are four new chapters and the one on health promotion is particularly impressive. The book now seems suited not only to health psychology students but also for those in allied professions such as physiotherapists, nurses, dieticians, physicians and medical students."" Ad A. Kaptein, Professor of Medical Psychology, Leiden University Medical Centre, the Netherlands ""This thought-provoking book is in tune with students' questions about health psychology and places the student at the centre of knowledge dissemination."" Dr Catherine Sykes, Team Leader in Health Psychology, City University, London ""Jane Ogden manages to write in an uncomplicated manner but without doing injustice to the complexities of the theories and research being described. She provides good historical and societal contexts for the different strands of research, so students can appreciate the relevance of Health Psychology in and for the real world."" Roger Ingham, Professor of Health and Community Psychology, University of Southampton ""Jane Ogden's Health Psychology is an impressive introduction to the field. The book is suitable for students of all backgrounds wishing to gain a comprehensive introduction to the exciting field of health psychology. The chapters are clearly organized and integrate the latest international research findings into an easy to read and well illustrated textbook."" Keith J Petrie, Professor of Health Psychology, Department of Psychological Medicine, University of Auckland Thoroughly revised to reflect recent research, theory and practice in health psychology, this market bestseller includes new coverage of topical issues such as behaviour change strategies, health inequalities, exercise dependence, caffeine use and men's health. Now organized into five sections, the book follows a health-illness continuum model, covering theory and research relating to the context of health, health beliefs and behaviours, becoming ill and being ill with the final section describing how students can learn to think more critically about all aspects of health psychology. The new edition also includes five new chapters: Health inequalities - depicts health variation by gender, social class and geography and describes possible explanations for this Health promotion - describes a wide range of theories and strategies used to change behaviour including CBT, motivational interviewing, relapse prevention, fear appeals and the use of technology Health access - examines patient contact with health professionals, with a focus on help seeking behaviour (and delay), screening, communication and adherence Men's health - explores gender differences in life expectancy and causes of mortality, men's health related behaviours, their health beliefs, social norms of masculinity and emotional expression Being critical - offers a detailed analysis of how to be more critical, with a focus on thinking about theory, constructs, methodology and measurement Many brand new examples are introduced, covering: post traumatic stress symptoms, exercise and Chronic Fatigue Syndrome, post traumatic growth and benefit finding, measurement issues for adherence, eating, exercise, social support and coping, visualization and illness cognitions and the response shift. Health Psychology 5th edition is essential reading for all students and researchers of health psychology. It will also be invaluable to students of medicine, nursing and allied health. An Online Learning Centre website www.openup.co.uk/ogden accompanies this edition with useful materials for students of health psychology and their lecturers, including PowerPoint presentations, artwork and a new Testbank.",2012-05-01,NA
2,The Oxford Handbook of Clinical Psychology,['David H. Barlow Ph.D.'],"The exponential growth of clinical psychology since the late 1960s can be measured in part by the extensive-perhaps exhaustive-literature on the subject. This proliferation of writing has continued into the new century, and the field has come to be defined as much by its many topics as its many voices. The Oxford Handbook of Clinical Psychology synthesizes these decades of literature in one extraordinary volume. Comprising chapters from the foremost scholars in clinical psychology, the handbook provides even and authoritative coverage of the research, practice, and policy factors that combine to form today's clinical psychology landscape. In addition to core sections on topics such as training, assessment, diagnosis, and intervention, the handbook includes valuable chapters devoted to new and emerging issues in the clinical field, including heath care reforms, cultural factors, and technological innovations and challenges. Each chapter offers a review of the most pertinent literature, outlining current issues and identifying possibilities for future research. Featuring two chapters by Editor David H. Barlow -- one on changes during his own 40-year odyssey in the field, the other projecting ten themes for the future of clinical psychology -- The Oxford Handbook of Clinical Psychology is a landmark publication that is sure to serve as the field's benchmark reference publication for years to come. It is an essential resource for students, clinicians, and researchers across the ever-growing clinical psychology community.",2010-12-07,NA
3,The Encyclopedia of Peace Psychology,['Daniel J. Christie'],"The Encyclopedia of Peace Psychology, available online through Wiley Online Library or as a three-volume print set, is a state-of-the-art resource featuring almost 300 entries contributed by leading international scholars that examine the psychological dimensions of peace and conflict studies. First reference work to focus exclusively on psychological analyses and perspectives on peace and conflict Cross-disciplinary, linking psychology to other social science disciplines Includes nearly 300 entries written and edited by leading scholars in the field from around the world Examines key concepts, theories, methods, issues, and practices that are defining this growing field in the 21st century Includes timely topics such as genocide, hate crimes, torture, terrorism, racism, child abuse, and more A valuable reference for psychologists, and scholars, students, and practitioners in peace and conflict studies An ALA 2013 Outstanding Reference Source",2011-12-12,NA
4,The Social Psychology of Education,"['Robert S. Feldman', 'Robert Stephen Feldman']","This book examines the ways in which the theory and data of social psychology can be applied to teaching, learning, and other experiences in schools. Its focus ranges in level from the individual (e.g., student attitudes and attributions), to the teacher-student interaction, to the impact of society (e.g., racial and cultural influences on school performance). The editor and distinguished contributors have two major purposes. The first is to illustrate the scope and sophistication of the emerging field known as the social psychology of education. The second is to provide solid, informed suggestions to educators for the amelioration of current educational problems. To that end, each author explicitly discusses implications for educational practice.",1990-07-27,NA
5,The Psychology of Reading,"['Keith Rayner', 'Alexander Pollatsek']","The last 20 years have witnessed a revolution in reading research. Cognitive psychologists, using high-speed computers to aid in the collection and analysis of data, have developed tools that have begun to answer questions that were previously thought unanswerable. These tools allow for a ""chronometric,"" or moment-to-moment, analysis of the reading process. Foremost among them is the use of the record of eye movements to help reveal the underlying perceptual and cognitive processes of reading. This volume provides a coherent framework for the research accomplished on the reading process over the past 15 years. It emphasizes how readers go about extracting information from the printed page and how they comprehend the text.",2013-10-14,NA
6,"Handbook of Child Psychology, Social, Emotional, and Personality Development","['William Damon', 'Richard M. Lerner', 'Nancy Eisenberg']","Part of the authoritative four-volume reference that spans the entire field of child development and has set the standard against which all other scholarly references are compared. Updated and revised to reflect the new developments in the field, the Handbook of Child Psychology, Sixth Edition contains new chapters on such topics as spirituality, social understanding, and non-verbal communication. Volume 3: Social, Emotional, and Personality Development, edited by Nancy Eisenberg, Arizona State University, covers mechanisms of socialization and personality development, including parent/child relationships, peer relationships, emotional development, gender role acquisition, pro-social and anti-social development, motivation, achievement, social cognition, and moral reasoning, plus a new chapter on adolescent development.",2006-06-12,NA
7,The Psychology of Happiness,['Michael Argyle'],"What is happiness? Why are some people happier than others? This new edition of The Psychology of Happiness provides a comprehensive and up-to-date account of research into the nature of happiness. Major research developments have occurred since publication of the first edition in 1987 – here they are brought together for the first time, often with surprising conclusions. Drawing on research from the disciplines of sociology, physiology and economics as well as psychology, Michael Argyle explores the nature of positive and negative emotions, and the psychological and cognitive processes involved in their generation. Accessible and wide-ranging coverage is provided on key issues such as: the measurements and study of happiness, mental and physical health; the effect of friendship, marriage and other relationships on positive moods; happiness, mental and physical health; the effects of work, employment and leisure; and the effects of money, class and education. The importance of individual personality traits such as optimism, purpose in life, internal control and having the right kind of goals is also analysed. New to this edition is additional material on national differences, the role of humour, and the effect of religion. Are some countries happier than others? This is just one of the controversial issues addressed by the author along the way. Finally the book discusses the practical application of research in this area, such as how happiness can be enhanced, and the effects of happiness on health, altruism and sociability. This definitive and thought-provoking work will be compulsive reading for students, researchers and the interested general reader",2013-10-23,NA
8,Political Psychology,['David Patrick Houghton'],"What shapes political behavior more: the situations in which individuals find themselves, or the internal psychological makeup---beliefs, values, and so on---of those individuals? This is perhaps the leading division within the psychological study of politics today. Political Psychology: Situations, Individuals, and Cases, 2nd edition, provides a concise, readable, and conceptually organized introduction to the topic of political psychology by examining this very question. Using this situationism--dispositionism framework—which roughly parallels the concerns of social and cognitive psychology—this book focuses on such key explanatory mechanisms as behaviorism, obedience, personality, groupthink, cognition, affect, emotion, and neuroscience to explore topics ranging from voting behavior and racism to terrorism and international relations. The new edition includes a new chapter on the psychology of the media and communication. Houghton has also updated the text to analyze recent political events such as the 2012 election, and to include up-and-coming research in the areas of neuroscience, behavioral economics, and more. Houghton's clear and engaging examples directly challenge students to place themselves in both real and hypothetical situations which involve intense moral and political dilemmas. This highly readable text will provide students with the conceptual foundation they need to make sense of the rapidly changing and increasingly important field of political psychology.",2014-08-25,NA
9,Applied Psychology,['Horst Gundlach'],NA,1998,NA
10,Cultural Psychology,['Michael Cole'],"This monumental work takes up the odd dilemma of cultural psychology. The distinguished psychologist Michael Cole, known for his pioneering work in literacy, cognition, and human development, offers a full and multifaceted account of what the field of cultural psychology is what it has been, and what it can be.",1998,NA
11,Handbook of Educational Psychology and Students with Special Needs,"['Andrew J. Martin', 'Rayne A. Sperling', 'Kristie J. Newton']","Handbook of Educational Psychology and Students with Special Needs provides educational and psychological researchers, practitioners, policy-makers, and graduate students with critical expertise on the factors and processes relevant to learning for students with special needs. This includes students with attention-deficit/hyperactivity disorder, other executive function difficulties, behavior and emotional disorders, autism spectrum disorder, intellectual disabilities, learning disabilities, dyslexia, language and communication difficulties, physical and sensory disabilities, and more. With the bulk of educational psychology focused on ""mainstream"" or ""typically developing"" learners, relatively little educational psychology theory, research, measurement, or practice has attended to students with ""special needs."" As clearly demonstrated in this book, the factors and processes studied within educational psychology—motivation and engagement, cognition and neuroscience, social-emotional development, instruction, home and school environments, and more—are vital to all learners, especially those at risk or disabled. Integrating guidance from the DSM-5 by the American Psychiatric Association and the International Classification of Diseases (ICD-10) by the World Health Organization, this book synthesizes and builds on existing interdisciplinary research to establish a comprehensive case for effective psycho-educational theory, research, and practice that address learners with special needs. Twenty-seven chapters by experts in the field are structured into three parts on diverse special needs categories, perspectives from major educational psychology theories, and constructs relevant to special needs learning, development, and knowledge building.",2020-02-18,NA
12,Psychology of Motivation,['Lois V. Brown'],"In psychology, motivation refers to the initiation, direction, intensity and persistence of behaviour. Motivation is a temporal and dynamic state that should not be confused with personality or emotion. Motivation is having the desire and willingness to do something. A motivated person can be reaching for a long-term goal such as becoming a professional writer or a more short-term goal like learning how to spell a particular word. Personality invariably refers to more or less permanent characteristics of an individual's state of being (eg: shy, extrovert, conscientious). As opposed to motivation, emotion refers to temporal states that do not immediately link to behaviour (e.g., anger, grief, happiness). This book presents that latest research in this field.",2007,NA
13,Advanced Educational Psychology,"['Ram Nath Sharma', 'Rajendra Kumar Sharma']","During The Course Of Teaching Educational Psychology To Graduate And Postgraduate Students, The Authors Felt The Need For A Suitable Textbook On This Subject Which May Cover The Syllabi Of Indian Universities And Maintain A Balanced Outlook. The Books Written By Western Authors Are Set In Western Environment And Hardly Cater To The Needs Of Indian Students. An Attempt Has Been Made To Provide A Model Textbook Excluding All Unnecessary Elaborations And Including Whatever Is Required To Maintain A Good Standard. The Language Of The Book Is Simple And Lucid.The Book Provides All Valuable Aspects Of Advanced Educational Psychology And Will Be Of Great Use For Students, Teachers, Educational Planners And Common Readers.",2006,NA
14,Consumer Psychology,['Jansson-Boyd'],Psychology is central to an effective understanding of consumption behaviours. The aim of this book is to provide an overall understanding for why people consume certain products and services and how this affects their behaviour and psychological well being.,2010-01-01,NA
15,Handbook of Educational Psychology,['Philip H. Winne'],"Sponsored by Division 15 of APA, the second edition of this groundbreaking book has been expanded to 41 chapters that provide unparalleled coverage of this far-ranging field. Internationally recognized scholars contribute up-to-date reviews and critical syntheses of the following areas: foundations and the future of educational psychology, learners’ development, individual differences, cognition, motivation, content area teaching, socio-cultural perspectives on teaching and learning, teachers and teaching, instructional design, teacher assessment, and modern perspectives on research methodologies, data, and data analysis. New chapters cover topics such as adult development, self-regulation, changes in knowledge and beliefs, and writing. Expanded treatment has been given to cognition, motivation, and new methodologies for gathering and analyzing data. The Handbook of Educational Psychology, Second Edition provides an indispensable reference volume for scholars, teacher educators, in-service practitioners, policy makers and the academic libraries serving these audiences. It is also appropriate for graduate level courses devoted to the study of educational psychology.",2006,NA
16,Qualitative Psychology,['Jonathan A Smith'],Covering all the main qualitative approaches now used in psychology - the Second Edition offers readers a step-by-step guide to carrying out research using each particular method with plenty of pedagogical advice. All chapters are written by international experts - many of them key figures in either the inception or development of their chosen method. Key features of the Second Edition include: - updated and extended chapters - examples of good research studies using each approach - text boxes and further readings,2007-12-18,NA
17,Social Psychology,"['Graham M Vaughan', 'Michael A Hogg']","The 7th edition of this best-selling social psychology text by Graham Vaughan and Michael Hogg, Social Psychology, retains the structure and approach of the previous edition but has been revised to reflect the changes in the field, with the material thoroughly updated throughout. Social Psychology 7e continues to capture the scope and detail of contemporary social psychology as an international scientific enterprise and at the same time deals with the subject in a way that is relevant to university teaching and social psychology research in Australia and New Zealand.",2013-10-16,NA
18,The Oxford Handbook of Personality and Social Psychology,"['Kay Deaux', 'Mark Snyder']","In The Oxford Handbook of Personality and Social Psychology, contributors explore the historical, conceptual, methodological and empirical foundations that link the two fields of personality psychology and social psychology across numerous domains. Their explorations provide new and rich understandings that promise to advance the state of personality, social psychology, and their integration.",2012-02-10,NA
19,The Psychology of Hope,['C. R. Snyder'],"Why do some people lead positive, hope-filled lives, while others wallow in pessimism? In The Psychology of Hope, a professor of psychology reveals the specific character traits that produce highly hopeful individuals. He offers a test to measure one's level of optimism and gives specific advice on how to become a more hopeful person.",1994,NA
20,An Introduction to Criminal Psychology,['Russil Durrant'],"Crime is a topic that is of considerable interest to policy-makers, politicians and the public alike. We want to know what factors can explain the nature and prevalence of crime in society and use this knowledge to better develop approaches for managing criminal behaviour. This book provides a comprehensive overview of approaches to understanding crime and criminal behaviour, with a focus on psychological perspectives. A wide range of different types of criminal behaviour are considered, including juvenile crime, violent offending, sexual offending, collective violence and drug use. For each type of offence a clear overview of key conceptual and methodological issues is provided, along with a detailed consideration of the major theoretical approaches that have been developed. The book concludes by considering how our theoretical understanding of crime can inform our responses to criminal behaviour in terms of punishment, prevention and rehabilitation. Key features of the book include: • an in-depth coverage of a broad range of different types of criminal behaviour; • inclusion of a diverse range of different theoretical perspectives; • accessibly written, with extensive use of case studies, boxes and activities; • an extensive use of up-to-date references that highlight the current state of knowledge in the field of criminal psychology. This book should be of interest to students, academics, researchers and practitioners with an interest in criminal behaviour, and is particularly suitable for undergraduate courses in criminal psychology, forensic psychology and psychological criminology.",2012,NA
21,The Social Psychology of Aggression,['Barbara Krahe'],"The second edition of this thoroughly revisedtextbook provides an updated and expanded overview of social psychological research on aggression. The first part covers the definition and measurement of aggression, presenting major theories, and alsocharting its development whilst at the same time examining the role of personality and gender differences. This part also covers the role of situational factors in eliciting aggression, and the impact of using violent media. The second part of the book is devoted to specific forms and manifestations...",2013-01-22,NA
22,Developmental Psychology,"['Derek Hook', 'Jacki Watts', 'Kate Cockcroft']","Developmental Psychology Second Edition provides a theory-driven approach to understanding human development from two perspectives – the psychoanalytic and the cognitive. These two perspectives, which form the first sections of the book, complement one another. The third section of the book brings together thoughts on the South African context and the impact it has on development.",2002,NA
23,Research Methods and Statistics in Psychology,['Hugh Coolican'],"""The fifth edition of Coolican's classic text has been substantially revised and updated, providing students with the most readable and comprehensive survey of research methods, statistical concepts and procedures in psychology today.""--Back cover.",2009,NA
24,Handbook of Police Psychology,['Jack Kitaeff'],"The Handbook of Police Psychology represents the contributions of over thirty police psychologists, all experts in their field, on the core subject matters of police psychology. Police psychology is broadly defined as the application of psychological principles and methods to law enforcement. This growing area includes topics such as screening and hiring of police officers; conducting screening for special squads (e.g., SWAT); fitness-for-duty evaluations; investigations, hostage negotiations; training and consultation, and stress counseling, among others. The book examines the beginnings of police psychology and early influences on the profession such as experimental investigations of psychological testing on police attitude and performance. Influential figures in the field of police psychology are discussed, including the nation’s first full-time police psychologist who served on the Los Angeles Police Department, and the first full-time police officer to earn a doctorate in psychology while still in uniform with the New York Police Department.",2011-03-17,NA
25,Readings in Philosophy of Psychology,['Ned Block'],"Essays discuss behaviorism, reductionism, physicalism, functionalism, the nature of mental states, and the foundations of psychoanalysis",1980,NA
26,The Oxford Handbook of Military Psychology,"['Janice H. Laurence', 'Michael D. Matthews']","The Oxford Handbook of Military Psychology describes the critical link between psychology and military activity. The extensive coverage includes topics in of clinical, industrial/organizational, experimental, engineering, and social psychology. The contributors are leading international experts in military psychology.",2012-02-24,NA
27,Indian Journal of Applied Psychology,NA,NA,1992,NA
28,Education & Psychology Review,NA,NA,1972,NA
29,Psychology of Terrorism,"['Bruce Bongar', 'Lisa M. Brown', 'Larry E. Beutler', 'James N. Breckenridge', 'Philip G. Zimbardo']","During the past decade, we have witnessed a dramatic transformation in the nature and uses of terrorism. In the 70s, it was often repeated that terrorists ""want a lot of people watching, not a lot of people dead""; today, it is more accurate to say that terrorists want a lot of people dead, and even more people crippled by fear and grief. A major strategic intent of modern terrorists is to use larger scale physical attacks to cause stress in the general population. These changes in terrorist strategy have made it clear that we need better psychological and social responses to terrorism and man-made disasters. The psychological science needed to provide proper and effective treatment for victims of horrendous events, such as September 11th, and future potential terrorist acts, simply does not exist, so military, medical, and psychological experts must work together to improve their understanding of mass casualty terrorism. In Psychology of Terrorism leading national and international experts present the first results of this effort, including the newest findings on treatment of and clinical responses to terrorism along with their respective underlying theories. They address the history of terrorism; types and effects of weapons of mass destruction or disruption; the role of the military, government agencies, and volunteer groups in responding to terrorist threats; psychological consequences of terrorism; and treatment of special populations such as children and older adults. This volume will be an ideal text for both academic and professional courses as well as a comprehensive resource for mental health clinicians and researchers, medical care providers, educators, public health specialists, government employees, police and fire departments, and non-profit agencies that provide services and craft policy.",2006-09-07,NA
30,Coping,['C. R. Snyder'],"Most people take the process of coping for granted as they go about their daily activities. In many ways, coping is like breathing, an automatic process requiring no apparent effort. However, when people face truly threatening events--what psychologists call stressors--they become acutely aware of the coping process and respond by consciously applying their day-to-day coping skills. Coping is a fundamental psychological process, and people's skills are commensurately sophisticated. This volume builds on people's strengths and emphasizes their role as positive copers. It features techniques for preventing psychological problems and breaks from the traditional research approach, which is modeled on medicine and focuses on pathology and treatment. Collecting both award-winning research and new findings, this book may well set the agenda for research on stress and coping for the next century. These provocative and readable essays explore a variety of topics, including reality negotiation, confessing through writing, emotional intelligence, optimism, hope, mastery-oriented thinking, and more. Unlike typical self-help books available at any newsstand, this volume features the work of some of the most eminent researchers in the field. Yet like those books it is written for the general reader, as well as for the specialist, and includes numerous practical suggestions and techniques. It will prove an invaluable tool for a wide range of readers.",1999-03-25,NA
31,The Oxford Handbook of Personnel Psychology,"['Susan Cartwright', 'Cary L. Cooper']","The field of Personnel Psychology is broadly concerned with the study of individual differences and their consequences for the organization. As human resource costs continue, for most organizations, to be the single largest operating cost (50-80% of annual expenditure), achieving optimal performance from individual employees is of paramount importance to the sustained development and financial performance of any organization. The Oxford Handbook of Personnel Psychology brings together contributions from leading international scholars within the field to present state-of-the-art reviews on topical and emergent issues, constructs, and research in personnel psychology. The book is divided into six sections: - Individual Difference and Work Performance - Personnel Selection - Methodological Issues - Training and Development - Policies and Practices - Future Challenges While the Handbook is primarily a review of current academic thinking and research in the area, the contributors keep a strong focus on the lessons for HR practitioners, and what lessons they can take from the cutting-edge work presented. About the Series Oxford Handbooks in Business & Management bring together the world's leading scholars on the subject to discuss current research and the latest thinking in a range of interrelated topics including Strategy, Organizational Behavior, Public Management, International Business, and many others. Containing completely new essays with extensive referencing to further reading and key ideas, the volumes, in hardback or paperback, serve as both a thorough introduction to a topic and a useful desk reference for scholars and advanced students alike.",2008,NA
32,The Oxford Handbook of Language and Social Psychology,['Thomas M. Holtgraves'],"Language pervades everything we do as social beings. It is, in fact, difficult to disentangle language from social life, and hence its importance is often missed. The emergence of new communication technologies makes this even more striking. People come to ""know"" one another through these interactions without ever having met face-to-face. How? Through the words they use and the way they use them. The Oxford Handbook of Language and Social Psychology is a unique and innovative compilation of research that lies at the intersection of language and social psychology. Language is viewed as a social activity, and to understand this complex human activity requires a consideration of its social psychological underpinnings. Moreover, as a social activity, the use and in fact the existence of language has implications for a host of traditional social psychological processes. Hence, there is a reciprocal relationship between language and social psychology, and it is this reciprocal relationship that defines the essence of this handbook. The handbook is divided into six sections. The first two sections focus on the social underpinnings of language, that is, the social coordination required to use language, as well as the manner in which language and broad social dimensions such as culture mutually constitute one another. The next two sections consider the implications of language for a host of traditional social psychological topics, including both intraindividual (e.g., attribution) and interindividual (e.g., intergroup relations) processes. The fifth section examines the role of language in the creation of meaning, and the final section includes chapters documenting the importance of the language-social psychology interface for a number of applied areas.",2014-08-13,NA
33,Health Psychology,['Felicity Allen'],"A comprehensive introduction to health psychology which covers both health enhancing and hazardous behaviours, as well as ways of encouraging people to improve their health.",1998,NA
34,The Dictionary of Psychology,['Mike Cardwell'],"""First published 1996 in the United Kingdom by Hodder and Stoughton Educational as'The complete A-Z psychology handbook'""--T.p. verso.",1999,NA
35,"Handbook of the Psychology of Religion and Spirituality, Second Edition","['Raymond F. Paloutzian', 'Crystal L. Park']","Widely regarded as the definitive reference, this volume comprehensively examines the psychological processes associated with religion and spirituality. Leading scholars from multiple psychological subdisciplines present developmental, cognitive, social psychological, cultural, and clinical perspectives on this core aspect of human experience. The forms and functions of religious practices and rituals, conversion experiences, and spiritual struggles are explored. Other key topics include religion as a meaning system, religious influences on prosocial and antisocial behavior, and connections to health, coping, and psychotherapy. New to This Edition *Two chapters on cross-cultural issues. *Chapters on spiritual goals, emotional values, and mindfulness. *Reflects significant theoretical and empirical developments in the field. *Many new authors and extensively revised chapters. *Robust index amplifies the volume's usefulness as a reference tool.",2013-05-21,NA
36,Health Psychology,['Jane Ogden'],"“This fourth edition incorporates a number of substantive new topics, including a new chapter on women's health, as well as opportunities for the reader to critically examine key conceptual and methodological issues within each chapter. It remains clearly written and highly accessible and still deserves its place as the number one choice of health psychology textbook.” – John Weinman, King’s College, London The market leading textbook in the field, Health Psychology by Jane Ogden is essential reading for all students and researchers of health psychology. It will also be invaluable to students of medicine, nursing and allied health. Retaining the breadth of coverage, clarity and relevance that has made it a favourite with students and lecturers, this fourth edition has been thoroughly revised and updated. New Features: New chapter on women's health issues, exploring recent research into pregnancy, miscarriage, birth, menopause and related areas New ""Problems"" boxes analyse health psychology research and identify the shortcomings and limitations of research in the area Updated ""Focus on Research"" examples introduce you to contemporary topics and emerging areas for research in health psychology, including exercise, smoking and pain. The new edition includes new data, graphs and further reading plus suggestions about where you can access the most recent publications and other data Revised end-of-chapter review questions Online Learning Centre: www.openup.co.uk/ogden. The OLC hosts web links and multiple choice questions for students, plus supporting teaching resources including teaching tips and PowerPoint presentations for lecturers. Interested in accessing more research readings? Essential Readings in Health Psychology by Jane Ogden is a new collection of key papers brought together for the first time in one volume which complements Health Psychology: A Textbook 4/e and offers more detailed accounts of the issues covered in this text.",2007-06,NA
37,Social Psychology,['Catherine A. Sanderson'],"Psychologists have been searching for a reference that unifies the disparate topics of social psychology around a central theme. Social Psychology follows that approach as it presents the most fundamental concepts in the field. It touches on all of the major concepts researchers are currently addressing but is firmly grounded in the basic social psychological theories and principles. A single chapter is included on the impact of culture in psychology, focusing on how the findings and theories might differ in different cultures. Psychologists will benefit from two research studies in each chapter that provide a real world perspective of the material.",2009-12-02,NA
38,The Psychology of Entrepreneurship,"['J. Robert Baum', 'Michael Frese', 'Robert A. Baron']","Entrepreneurship is essential for international social and economic well-being, as new ventures are the dominant source of job creation, market innovation, and economic growth in many societies. In this book, a noted group of researchers use findings, methods, and theories of modern psychology as the basis for gaining important, new insights into entrepreneurship-and into the hearts and minds of the talented, passionate professionals who create new business ventures. The Psychology of Entrepreneurship, a volume in the SIOP Organizational Frontiers Series, is the first book written about the psychology of entrepreneurship, and includes over 60 research questions to guide industrial organizational psychology, organizational behavior, and entrepreneurship research about entrepreneurs. It seeks to answer questions such as, how and why do some people, but not others, recognize opportunities, decide to start new ventures, and organize successful, rapidly growing new ventures? Some topics addressed include: methods to help researchers explore the domain of entrepreneurship research; the entire process of starting a new business; characteristics of the individual entrepreneur; the history of entrepreneurship education; the cross-cultural effects of entrepreneurship; and the viewpoints of seasoned psychologists who analyze current entrepreneurship research methods. This book will appeal to teachers, students, and researchers in the areas of industrial organizational psychology, organizational behavior, entrepreneurship, and management.",2014-04-16,NA
39,Vehicles,['Valentino Braitenberg'],"The ""vehicles"" described in this light-hearted yet wonderfully skillful exercise in fictional science are the inventions of one of the world's eminent brain researchers.",1986,NA
0,Social Psychology,['Robbie Sutton and Karen Douglas'],NA,NA,NA
1,Health Psychology,"['David French', 'Kavita Vedhara', 'Ad A. Kaptein', 'John Weinman']","Now in its second edition, Health Psychology is substantially revised and updated to offer the greatest coverage of this rapidly expanding discipline. Updated edition which provides students with a critical, thought-provoking and comprehensive introduction to the discipline Clearly and critically outlines the major areas of theory and research Chapters written by world-leading health psychologists Includes end-of-chapter discussion points and an extensive glossary of terms",2010-09-14,NA
2,Advanced Educational Psychology,['Bangalore Kuppuswamy'],NA,1964,NA
3,Psychology,['Thomas Land'],"Psychology, Third Edition, builds upon the experience and reputations of Phil Zimbardo and Ann Weber with the addition of a new co-author, Bob Johnson, who has a wealth of teaching experience at the community college level. This briefer, less expensive book presents psychology in a meaningful, manageable format that focuses on the key questions and core concepts of psychology. Introductory psychology covers such a wide range of topics and issues that it becomes difficult for readers to see the forest for the trees. To make key psychological concepts more meaningful, the authors found inspiration in a classic chess study. This study showed that experts did no better than novices at remembering the location of pieces on a chess board when they were placed randomly. Only when the patterns represented actual game situations did they make sense and therefore become more easily memorable for the experts. Clearly, meaningful patterns are easier to remember and understand than random arrangements, and Psychology applies this by presenting the field of psychology in meaningful patterns to enhance comprehension. These concepts are then applied to readers' own lives, study skills, and the world around them. Finally, Psychology integrates a cross-cultural and multicultural perspective to make psychology meaningful for everyone. For anyone interested in Introductory Psychology.",2000,NA
4,The Psychology of Legitimacy,"['John T. Jost', 'Professor of Psychology John T Jost', 'Brenda Major']","This book, first published in 2001, provides a general approach to the psychological basis of social inequality.",2001-09-10,NA
5,PSYCHOLOGY THE STUDY OF HUMAN BEHAVIOUR,['BRAJ KUMAR MISHRA '],"Human behaviour—both complex and simple—is such a fascinating subject for study and research, and therefore, psychology as a subject is of tremendous importance to the students and the researchers. This accessible and student-friendly text in its second edition, shows the ‘what,’ ‘why’ and ‘how’ of human behaviour patterns. The text emphasizes controlled and systematic studies to explain such behavioural aspects as sensing, perceiving, modifications of human behaviour, memorizing, the recollection of past events, and affecting processes. The text is interspersed with many examples to illustrate the concepts discussed. The concepts are well-supported with experimental as well as observational facts. What’s more, the book acquaints the reader with the recent advances in the field of psychology.",2016-06-04,NA
